,us_node_id,ds_node_id,geometry,depth,flow,vol,conduit_height,conduit_width,conduit_shape,conduit_length,conduit_material,conduit_volume,conduit_xs,flow_xs,flow_perimeter,flow_area,flow_volume,flow_velocity,residence_time,conduit_av,conduit_hrt,conduit_hrt_inv,conduit_roughness,conduit_ff,conduit_ss
17 Wing Pumphouse.1,17 Wing Pumphouse,S-BE70029573,"LINESTRING (625705.3 5527801.2, 625705.2 5527799)",0.02,0.0,0.0,0.4,0.4,CIRC,2.3,PVC,0.289026524130261,0.12566370614359174,0.0023490362751040633,0.18041072471850494,0.4149446668525613,0.005402783432739346,0.0,inf,76.80201733390118,0.0,0.0,0.0015,0.006957958450405025,0.0
320X0000319.1,320X0000319,320X0000320,"LINESTRING (633361.5 5528403, 633360.4 5528406.9)",0.036115999999999995,0.0006479999999999999,0.135604,0.294,0.294,CIRC,4.0,POLYF,0.27154670260568736,0.06788667565142184,0.004774975263865389,0.21055967946448773,0.8422387178579509,0.019099901055461554,0.135707509294077,29.475155949786352,44.096496385624754,0.008187543319385098,122.13675836466928,0.0015,0.007279087220988602,0.013405551419338533
320X0000320.1,320X0000320,S-CO70013660,"LINESTRING (633360.4 5528406.9, 633355.4 5528423.7)",0.034006,0.0006479999999999999,0.14660800000000002,0.3,0.3,CIRC,17.6,VC,1.2440706908215582,0.07068583470577035,0.004420618559989667,0.20603320963190352,3.6261844895215023,0.07780288665581814,0.14658582078647261,120.06618311083048,46.607325838215985,0.033351717530786244,29.98346334268758,0.5,0.022325259287691485,0.047971184017133184
320X0000321.1,320X0000321,S-MH20014253,"LINESTRING (633350.2 5528441.2, 633344 5528462)",0.043684,0.0006479999999999999,0.101826,0.3,0.3,CIRC,21.7,VC,1.5338826131152166,0.07068583470577035,0.00636849190162829,0.23491155497823302,5.097580743027656,0.13819627426533387,0.1017509341315673,213.2658553477375,36.886528020577536,0.05924051537437153,16.880339302932825,0.5,0.022325259287691485,0.02311390486910993
320X0000322.1,320X0000322,320X0000321,"LINESTRING (633353 5528431.6, 633350.2 5528441.2)",0.03419199999999999,0.0006479999999999999,0.14551799999999998,0.3,0.3,CIRC,10.0,POLYC,0.7068583470577035,0.07068583470577035,0.004456040600492345,0.2066192179330627,2.066192179330627,0.04456040600492345,0.1454205780639438,68.76605864957322,46.36834276380549,0.019101682958214784,52.351408103019764,0.5,0.022325259287691485,0.047211548470266644
320X0000323.1,320X0000323,S-MH20013429,"LINESTRING (632901.2070000004 5527572.626, 632900.9190999996 5527575.1764, 632900.5725999996 5527578.3123, 632900.2334000003 5527581.448999999, 632899.9017000003 5527584.5865, 632899.5773 5527587.7248, 632899.2604 5527590.8638, 632898.9508999996 5527594.0035, 632898.6487999996 5527597.143999999, 632898.3542 5527600.2852, 632898.0916999998 5527603.155300001, 632898.0669 5527603.427100001, 632897.7871000003 5527606.569599999, 632897.5147000002 5527609.7128, 632897.2496999996 5527612.8566, 632896.9921000004 5527616.001, 632896.7419999996 5527619.1461, 632896.4993000003 5527622.2917)",0.03,0.0,0.0,0.3,0.3,CIRC,46.19,VC,3.2649787050595322,0.07068583470577035,0.0036787749478489062,0.19305033263798532,8.916994864548542,0.16992261484114096,0.0,inf,52.47679876445496,0.0,0.0,0.5,0.022325259287691485,0.0
320X0000327.1,320X0000327,320X0000328,"LINESTRING (632936.1 5528118.3, 632935.3 5528120.4)",0.048002,0.001054,0.11732799999999999,0.438,0.438,CIRC,2.3,POLYF,0.3465500280952861,0.15067392525882006,0.008968997835368892,0.2955758113161988,0.6798243660272573,0.02062869502134845,0.11751591642085053,19.571816908300235,32.95527736115703,0.005436615807861176,183.93795613698347,0.0015,0.006867350267472396,0.009483804272470496
320X0000328.1,320X0000328,320X0000329,"LINESTRING (632935.3 5528120.4, 632925 5528147.6)",0.048004,0.001054,0.11567399999999999,0.45,0.45,CIRC,29.1,UNKN,4.628155027360314,0.15904312808798327,0.009100173732798256,0.2994453134650703,8.713858621833547,0.26481505562442925,0.11582196460725158,251.24768085809225,32.905450187816626,0.06979102246058118,14.328490466876485,1.0,0.024090558084295017,0.03231682716740276
320X0000329.1,320X0000329,320X0000330,"LINESTRING (632925 5528147.6, 632923.5 5528151.7)",0.048004,0.001054,0.11693400000000001,0.441,0.441,CIRC,4.3,POLYF,0.6568035869275063,0.15274502021569913,0.009002380149084388,0.29655265512627405,1.2751764170429782,0.038710234641062866,0.11708014797699917,36.726977837820556,32.94158324967378,0.010201938288283488,98.0205890039993,0.0015,0.0068606069721213175,0.009404356103397115
320X0000330.1,320X0000330,320X0000332,"LINESTRING (632923.5 5528151.7, 632909.6 5528188.3)",0.048004,0.001054,0.11571400000000001,0.45,0.45,CIRC,39.1,UNKN,6.218586308240146,0.15904312808798327,0.009100173732798256,0.2994453134650703,11.70831175648425,0.3558167929524118,0.11582196460725158,337.5870900876772,32.905450187816626,0.09377419169102144,10.663914899900401,1.0,0.024090558084295017,0.03231682716740276
