wwtp,part.class,bin,count,level,bin_left,bin_right,bin_mid
north,1,0,3758531,Pipe,0,0.05,0.025
north,2,0,3259269,Pipe,0,0.05,0.025
north,3,0,2765687,Pipe,0,0.05,0.025
north,4,5,39037,Pipe,0.25,0.30000000000000004,0.275
north,5,10,36920,Pipe,0.5,0.55,0.525
north,6,17,54358,Pipe,0.8500000000000001,0.9,0.875
north,7,19,3137219,Pipe,0.9500000000000001,1,0.9750000000000001
north,8,19,3372728,Pipe,0.9500000000000001,1,0.9750000000000001
north,4,0,2149143,Pipe,0,0.05,0.025
north,5,0,1378428,Pipe,0,0.05,0.025
north,6,19,2702023,Pipe,0.9500000000000001,1,0.9750000000000001
north,4,12,33183,Pipe,0.6000000000000001,0.65,0.625
north,5,19,2010327,Pipe,0.9500000000000001,1,0.9750000000000001
north,4,3,46690,Pipe,0.15000000000000002,0.2,0.17500000000000002
north,5,6,32643,Pipe,0.30000000000000004,0.35000000000000003,0.325
north,6,13,27953,Pipe,0.65,0.7000000000000001,0.675
north,4,1,54259,Pipe,0.05,0.1,0.07500000000000001
north,5,17,68668,Pipe,0.8500000000000001,0.9,0.875
north,4,2,49656,Pipe,0.1,0.15000000000000002,0.125
north,5,18,99798,Pipe,0.9,0.9500000000000001,0.925
north,5,4,33314,Pipe,0.2,0.25,0.225
north,6,9,22476,Pipe,0.45,0.5,0.47500000000000003
north,7,18,46764,Pipe,0.9,0.9500000000000001,0.925
north,3,1,64316,Pipe,0.05,0.1,0.07500000000000001
north,4,7,33344,Pipe,0.35000000000000003,0.4,0.375
north,5,12,40225,Pipe,0.6000000000000001,0.65,0.625
north,6,18,79570,Pipe,0.9,0.9500000000000001,0.925
north,4,8,31392,Pipe,0.4,0.45,0.42500000000000004
north,2,4,38250,Pipe,0.2,0.25,0.225
north,3,8,31154,Pipe,0.4,0.45,0.42500000000000004
north,4,17,61759,Pipe,0.8500000000000001,0.9,0.875
north,5,7,32942,Pipe,0.35000000000000003,0.4,0.375
north,4,6,35999,Pipe,0.30000000000000004,0.35000000000000003,0.325
south,1,0,964854,Pipe,0,0.05,0.025
south,2,0,902738,Pipe,0,0.05,0.025
south,3,0,846761,Pipe,0,0.05,0.025
south,4,0,773399,Pipe,0,0.05,0.025
south,5,0,658863,Pipe,0,0.05,0.025
south,6,0,573826,Pipe,0,0.05,0.025
south,7,0,522305,Pipe,0,0.05,0.025
south,8,0,481447,Pipe,0,0.05,0.025
south,2,2,6396,Pipe,0.1,0.15000000000000002,0.125
south,3,11,3551,Pipe,0.55,0.6000000000000001,0.5750000000000001
south,4,19,167232,Pipe,0.9500000000000001,1,0.9750000000000001
south,5,19,264269,Pipe,0.9500000000000001,1,0.9750000000000001
south,6,19,382367,Pipe,0.9500000000000001,1,0.9750000000000001
south,7,19,464909,Pipe,0.9500000000000001,1,0.9750000000000001
south,8,19,520800,Pipe,0.9500000000000001,1,0.9750000000000001
south,2,1,7947,Pipe,0.05,0.1,0.07500000000000001
south,3,5,4153,Pipe,0.25,0.30000000000000004,0.275
south,4,15,5548,Pipe,0.75,0.8,0.775
north,6,14,30423,Pipe,0.7000000000000001,0.75,0.7250000000000001
north,4,19,1265423,Pipe,0.9500000000000001,1,0.9750000000000001
north,2,7,28280,Pipe,0.35000000000000003,0.4,0.375
north,3,13,33280,Pipe,0.65,0.7000000000000001,0.675
north,3,2,46966,Pipe,0.1,0.15000000000000002,0.125
north,5,13,42278,Pipe,0.65,0.7000000000000001,0.675
north,6,0,948206,Pipe,0,0.05,0.025
north,7,0,777344,Pipe,0,0.05,0.025
north,4,9,30498,Pipe,0.45,0.5,0.47500000000000003
north,5,15,48704,Pipe,0.75,0.8,0.775
north,8,0,650984,Pipe,0,0.05,0.025
north,2,3,42754,Pipe,0.15000000000000002,0.2,0.17500000000000002
north,3,9,31375,Pipe,0.45,0.5,0.47500000000000003
north,4,18,86941,Pipe,0.9,0.9500000000000001,0.925
north,6,16,42239,Pipe,0.8,0.8500000000000001,0.8250000000000001
north,1,1,72856,Pipe,0.05,0.1,0.07500000000000001
north,2,13,29589,Pipe,0.65,0.7000000000000001,0.675
north,3,18,77342,Pipe,0.9,0.9500000000000001,0.925
north,3,6,32198,Pipe,0.30000000000000004,0.35000000000000003,0.325
north,4,15,43421,Pipe,0.75,0.8,0.775
north,6,10,22771,Pipe,0.5,0.55,0.525
north,5,14,44134,Pipe,0.7000000000000001,0.75,0.7250000000000001
north,6,12,26049,Pipe,0.6000000000000001,0.65,0.625
north,5,9,35220,Pipe,0.45,0.5,0.47500000000000003
north,4,4,42652,Pipe,0.2,0.25,0.225
north,5,8,33162,Pipe,0.4,0.45,0.42500000000000004
north,6,15,35291,Pipe,0.75,0.8,0.775
north,8,5,4030,Pipe,0.25,0.30000000000000004,0.275
north,5,11,39096,Pipe,0.55,0.6000000000000001,0.5750000000000001
north,5,2,42966,Pipe,0.1,0.15000000000000002,0.125
north,6,7,21342,Pipe,0.35000000000000003,0.4,0.375
north,7,17,29934,Pipe,0.8500000000000001,0.9,0.875
north,6,8,22537,Pipe,0.4,0.45,0.42500000000000004
north,5,3,36664,Pipe,0.15000000000000002,0.2,0.17500000000000002
north,2,1,66872,Pipe,0.05,0.1,0.07500000000000001
north,5,1,46719,Pipe,0.05,0.1,0.07500000000000001
north,6,5,20987,Pipe,0.25,0.30000000000000004,0.275
north,7,15,20706,Pipe,0.75,0.8,0.775
north,3,3,38283,Pipe,0.15000000000000002,0.2,0.17500000000000002
north,5,5,32870,Pipe,0.25,0.30000000000000004,0.275
north,6,11,24281,Pipe,0.55,0.6000000000000001,0.5750000000000001
