wwtp,bin,count,bin_left,bin_right,bin_mid,mean_value,median_value,scenario
north,9,246370,0.45,0.5,0.47500000000000003,0.332586617477583,0.2863700177041028,Skewed (Base)
north,3,437669,0.15000000000000002,0.2,0.17500000000000002,0.332586617477583,0.2863700177041028,Skewed (Base)
north,2,414736,0.1,0.15000000000000002,0.125,0.332586617477583,0.2863700177041028,Skewed (Base)
north,5,315378,0.25,0.30000000000000004,0.275,0.332586617477583,0.2863700177041028,Skewed (Base)
north,12,100519,0.6000000000000001,0.65,0.625,0.332586617477583,0.2863700177041028,Skewed (Base)
north,8,244640,0.4,0.45,0.42500000000000004,0.332586617477583,0.2863700177041028,Skewed (Base)
north,14,67284,0.7000000000000001,0.75,0.7250000000000001,0.332586617477583,0.2863700177041028,Skewed (Base)
north,7,251485,0.35000000000000003,0.4,0.375,0.332586617477583,0.2863700177041028,Skewed (Base)
north,6,423783,0.30000000000000004,0.35000000000000003,0.325,0.332586617477583,0.2863700177041028,Skewed (Base)
north,4,297774,0.2,0.25,0.225,0.332586617477583,0.2863700177041028,Skewed (Base)
north,1,724871,0.05,0.1,0.07500000000000001,0.332586617477583,0.2863700177041028,Skewed (Base)
north,19,108768,0.9500000000000001,1,0.9750000000000001,0.332586617477583,0.2863700177041028,Skewed (Base)
north,10,133816,0.5,0.55,0.525,0.332586617477583,0.2863700177041028,Skewed (Base)
north,11,113646,0.55,0.6000000000000001,0.5750000000000001,0.332586617477583,0.2863700177041028,Skewed (Base)
north,0,4500,0,0.05,0.025,0.332586617477583,0.2863700177041028,Skewed (Base)
north,18,44996,0.9,0.9500000000000001,0.925,0.332586617477583,0.2863700177041028,Skewed (Base)
north,17,54580,0.8500000000000001,0.9,0.875,0.332586617477583,0.2863700177041028,Skewed (Base)
north,15,60662,0.75,0.8,0.775,0.332586617477583,0.2863700177041028,Skewed (Base)
north,13,85193,0.65,0.7000000000000001,0.675,0.332586617477583,0.2863700177041028,Skewed (Base)
north,16,59830,0.8,0.8500000000000001,0.8250000000000001,0.332586617477583,0.2863700177041028,Skewed (Base)
south,1,213438,0.05,0.1,0.07500000000000001,0.18707079442995755,0.05776392926312057,Skewed (Base)
south,13,16744,0.65,0.7000000000000001,0.675,0.18707079442995755,0.05776392926312057,Skewed (Base)
south,7,37062,0.35000000000000003,0.4,0.375,0.18707079442995755,0.05776392926312057,Skewed (Base)
south,0,436359,0,0.05,0.025,0.18707079442995755,0.05776392926312057,Skewed (Base)
south,6,43852,0.30000000000000004,0.35000000000000003,0.325,0.18707079442995755,0.05776392926312057,Skewed (Base)
south,14,15060,0.7000000000000001,0.75,0.7250000000000001,0.18707079442995755,0.05776392926312057,Skewed (Base)
south,19,19788,0.9500000000000001,1,0.9750000000000001,0.18707079442995755,0.05776392926312057,Skewed (Base)
south,12,14664,0.6000000000000001,0.65,0.625,0.18707079442995755,0.05776392926312057,Skewed (Base)
south,3,29715,0.15000000000000002,0.2,0.17500000000000002,0.18707079442995755,0.05776392926312057,Skewed (Base)
