wwtp,fate_process,model_version,n_paths,median_of_path_medians_percent,mean_of_path_medians_percent,q25_of_path_medians_percent,q75_of_path_medians_percent
North,Biofilm Adsorption + Biodegradation,Daily-averaged,8381,7.114907477085519,8.614994955679268,4.354464575785983,11.351423318168784
North,Biofilm Adsorption + Biodegradation,Hourly-resolved,7670,6.14250592999705,8.321389645776268,3.608624981571798,10.836854711657708
North,Settling / Resuspension,Daily-averaged,8381,28.892610267038187,33.32135651793765,13.337845912063504,45.92899765221021
North,Settling / Resuspension,Hourly-resolved,7670,32.82445640477167,36.74825991120794,14.0210311063853,56.3576095836529
North,Total Loss,Daily-averaged,8381,20.56675140345931,24.187451504277337,10.666473949107491,32.096846015582486
North,Total Loss,Hourly-resolved,7670,22.403838820427502,25.92563310377538,10.200468343818914,38.98222337740523
South,Biofilm Adsorption + Biodegradation,Daily-averaged,2061,5.144426659162004,6.889120472572019,3.3444583417598315,8.230038396080879
South,Biofilm Adsorption + Biodegradation,Hourly-resolved,2021,5.755675369929991,8.377882776260966,3.4381184132952827,10.206948787335328
South,Settling / Resuspension,Daily-averaged,2061,5.92879142229264,18.67527000047186,2.3660444707410244,33.45454597829685
South,Settling / Resuspension,Hourly-resolved,2021,12.076488406244573,24.875344044879732,4.416387315896433,42.49031257197238
South,Total Loss,Daily-averaged,2061,5.915428152843921,14.364923559794885,2.8383482558007875,23.428586843415463
South,Total Loss,Hourly-resolved,2021,9.40831574997853,17.24630816349828,3.9462918160947433,27.448133306523324
West,Biofilm Adsorption + Biodegradation,Daily-averaged,1236,5.183089260553725,7.427762886935599,3.333743533389046,9.432989668301946
West,Biofilm Adsorption + Biodegradation,Hourly-resolved,1208,5.271671624421953,7.185649970737546,3.4362096551994723,8.401872151267554
West,Settling / Resuspension,Daily-averaged,1236,11.07304715552563,26.629069331877,4.490159059980181,38.24917039667682
West,Settling / Resuspension,Hourly-resolved,1208,15.97810217613862,28.022553844978923,6.2789606736932875,44.11013213050447
West,Total Loss,Daily-averaged,1236,9.596025670767393,19.464946987603717,4.209504652397368,27.419019048442806
West,Total Loss,Hourly-resolved,1208,10.852474042716498,18.12492827891166,4.80355358865846,27.490946036538418
