file,column,description,units
flow_path_loss_distributions.csv,wwtp,wwtp,category or identifier
flow_path_loss_distributions.csv,fate_process,fate process,category or identifier
flow_path_loss_distributions.csv,bin_left_proportion,bin left proportion,proportion (0-1)
flow_path_loss_distributions.csv,bin_right_proportion,bin right proportion,proportion (0-1)
flow_path_loss_distributions.csv,bin_mid_proportion,bin mid proportion,proportion (0-1)
flow_path_loss_distributions.csv,flow_path_count,flow path count,count
flow_path_loss_distributions.csv,mean_loss_proportion,mean loss proportion,proportion (0-1)
flow_path_loss_distributions.csv,median_loss_proportion,median loss proportion,proportion (0-1)
fsa_mean_loss_by_sample_fraction.csv,fsa,fsa,category or identifier
fsa_mean_loss_by_sample_fraction.csv,wwtp,wwtp,category or identifier
fsa_mean_loss_by_sample_fraction.csv,population,population,persons
fsa_mean_loss_by_sample_fraction.csv,sample_fraction,sample fraction,category or identifier
fsa_mean_loss_by_sample_fraction.csv,mean_loss_proportion,mean loss proportion,proportion (0-1)
population_equivalent_loss.csv,fsa,fsa,category or identifier
population_equivalent_loss.csv,wwtp,wwtp,category or identifier
population_equivalent_loss.csv,population,population,persons
population_equivalent_loss.csv,sample_fraction,sample fraction,category or identifier
population_equivalent_loss.csv,population_equivalent_loss_persons,population equivalent loss persons,persons
effective_surveillance_coverage.csv,location,location,category or identifier
effective_surveillance_coverage.csv,sample_fraction,sample fraction,category or identifier
effective_surveillance_coverage.csv,effective_surveillance_coverage_percent,effective surveillance coverage percent,percent
stochastic_effective_surveillance_coverage.csv,simulation,simulation,simulation index
stochastic_effective_surveillance_coverage.csv,location,location,category or identifier
stochastic_effective_surveillance_coverage.csv,sample_fraction,sample fraction,category or identifier
stochastic_effective_surveillance_coverage.csv,effective_surveillance_coverage_percent,effective surveillance coverage percent,percent
minimum_detectable_prevalence.csv,fsa,fsa,category or identifier
minimum_detectable_prevalence.csv,wwtp,wwtp,category or identifier
minimum_detectable_prevalence.csv,fsa_total_high_shedding_percent,fsa total high shedding percent,percent
minimum_detectable_prevalence.csv,fsa_solids_high_shedding_percent,fsa solids high shedding percent,percent
minimum_detectable_prevalence.csv,fsa_liquid_high_shedding_percent,fsa liquid high shedding percent,percent
minimum_detectable_prevalence.csv,fsa_no_loss_high_shedding_percent,fsa no loss high shedding percent,percent
minimum_detectable_prevalence.csv,fsa_total_low_shedding_percent,fsa total low shedding percent,percent
minimum_detectable_prevalence.csv,fsa_no_loss_low_shedding_percent,fsa no loss low shedding percent,percent
minimum_detectable_prevalence.csv,wwtp_total_high_shedding_percent,wwtp total high shedding percent,percent
minimum_detectable_prevalence.csv,wwtp_solids_high_shedding_percent,wwtp solids high shedding percent,percent
minimum_detectable_prevalence.csv,wwtp_liquid_high_shedding_percent,wwtp liquid high shedding percent,percent
minimum_detectable_prevalence.csv,city_total_high_shedding_percent,city total high shedding percent,percent
minimum_detectable_prevalence.csv,city_solids_high_shedding_percent,city solids high shedding percent,percent
