fsa,wwtp,population,sample_fraction,mean_loss_proportion
R2C,north,32816,Total,0.1608268080782762
R2C,north,32816,Solids,0.5883603638624058
R2C,north,32816,Liquid,0.5657526772532607
R2G,north,33874,Total,0.13309298802670522
R2G,north,33874,Solids,0.5884799193685212
R2G,north,33874,Liquid,0.5320181668717128
R2H,north,16136,Total,0.2255288423464724
R2H,north,16136,Solids,0.6532635726831323
R2H,north,16136,Liquid,0.5524518489172974
R2J,north,26960,Total,0.17881031287778593
R2J,north,26960,Solids,0.6091546820095104
R2J,north,26960,Liquid,0.5581684513012541
R2K,north,34345,Total,0.24374032838420345
R2K,north,34345,Solids,0.6668327564923267
R2K,north,34345,Liquid,0.5553338124864875
R2L,north,15255,Total,0.3242844444282946
R2L,north,15255,Solids,0.7217278214319658
R2L,north,15255,Liquid,0.5752765918992983
R2M,south,38978,Total,0.1937484995084663
R2M,south,38978,Solids,0.6224068854364022
R2M,south,38978,Liquid,0.5575594458057234
R2N,south,31384,Total,0.047859699358380636
R2N,south,31384,Solids,0.5225603715989715
R2N,south,31384,Liquid,0.5220006427865556
R2P,north,35218,Total,0.07565982827166995
R2P,north,35218,Solids,0.542775299137054
R2P,north,35218,Liquid,0.5270424081037935
R2R,north,25599,Total,0.10797597930610936
R2R,north,25599,Solids,0.5471888286773297
R2R,north,25599,Liquid,0.5599461709810993
R2V,north,38204,Total,0.2159889672015397
R2V,north,38204,Solids,0.6510235232242372
R2V,north,38204,Liquid,0.5440469365655871
R2W,north,29483,Total,0.23796238914994805
R2W,north,29483,Solids,0.6672648708622371
R2W,north,29483,Liquid,0.5477108506870978
R2X,north,19674,Total,0.16462951483149613
R2X,north,19674,Solids,0.5997373857851154
R2X,north,19674,Liquid,0.5542817602733725
R2Y,west,19849,Total,0.1047231773949242
R2Y,west,19849,Solids,0.5567296152714155
R2Y,west,19849,Liquid,0.5425680321069668
R3A,north,5156,Total,0.24106753489573618
R3A,north,5156,Solids,0.6726483046449891
R3A,north,5156,Liquid,0.5439290784287614
R3B,north,12545,Total,0.17829335617136655
R3B,north,12545,Solids,0.6213551899678004
R3B,north,12545,Liquid,0.5402994860803072
R3C,north,16798,Total,0.1586431104671513
R3C,north,16798,Solids,0.6049470066979228
R3C,north,16798,Liquid,0.5397125862579851
R3E,north,19009,Total,0.35061247612063806
R3E,north,19009,Solids,0.7241796735247603
R3E,north,19009,Liquid,0.6036686632750954
R3G,north,25200,Total,0.2573928449946816
R3G,north,25200,Solids,0.6702069733330199
R3G,north,25200,Liquid,0.5670763292556202
R3H,north,116,Total,0.2974563787391914
R3H,north,116,Solids,0.6786660736228856
R3H,north,116,Liquid,0.6036158369237072
R3J,west,28343,Total,0.2851411327592619
R3J,west,28343,Solids,0.6867841143653354
R3J,west,28343,Liquid,0.5772332953135748
R3K,west,12431,Total,0.09862351101746036
R3K,west,12431,Solids,0.5586347206220297
R3K,west,12431,Liquid,0.5324726428412947
R3L,south,20725,Total,0.19849631723974925
R3L,south,20725,Solids,0.6266388692264644
R3L,south,20725,Liquid,0.557321402829855
R3M,north,22203,Total,0.2757328435516956
R3M,north,22203,Solids,0.6792838993726655
R3M,north,22203,Liquid,0.5764613600133235
R3N,north,16591,Total,0.33917595797618005
R3N,north,16591,Solids,0.7241471905212067
R3N,north,16591,Liquid,0.5898866926144608
R3P,south,20616,Total,0.19483315540110335
R3P,south,20616,Solids,0.6136251051465942
R3P,south,20616,Liquid,0.5712697854628346
R3R,west,25743,Total,0.10121960031601829
R3R,west,25743,Solids,0.5581618900424159
R3R,west,25743,Liquid,0.5362701748057828
R3S,west,603,Total,0.0017050031029260948
R3S,west,603,Solids,0.4911823539912662
R3S,west,603,Liquid,0.5104601646140157
R3T,south,50190,Total,0.062328017313799444
R3T,south,50190,Solids,0.5231033935341654
R3T,south,50190,Liquid,0.5387340272047321
R3V,south,6416,Total,0.06506827617841826
R3V,south,6416,Solids,0.5178500688884096
R3V,south,6416,Liquid,0.5494659540334923
R3W,north,16173,Total,0.08140623483867493
R3W,north,16173,Solids,0.5416417535063448
R3W,north,16173,Liquid,0.5356028590795786
R3X,south,22304,Total,0.0661286592142164
R3X,south,22304,Solids,0.5239412657625009
R3X,south,22304,Liquid,0.542139046041924
R3Y,south,33116,Total,0.15409234784686843
R3Y,south,33116,Solids,0.5858043252923706
R3Y,south,33116,Liquid,0.5612057300878284
