fsa,wwtp,fsa_total_high_shedding_percent,fsa_solids_high_shedding_percent,fsa_liquid_high_shedding_percent,fsa_no_loss_high_shedding_percent,fsa_total_low_shedding_percent,fsa_no_loss_low_shedding_percent,wwtp_total_high_shedding_percent,wwtp_solids_high_shedding_percent,wwtp_liquid_high_shedding_percent,city_total_high_shedding_percent,city_solids_high_shedding_percent,city_liquid_high_shedding_percent
R2C,north,0.06434905275791626,0.1311827026830575,0.12435309827228055,0.054,643.4905275791627,540,0.06928133432266506,0.15277564651651612,0.12264579730747749,0.06638497034579353,0.14272650401568987,0.12126795846670285
R2G,north,0.06229041783510627,0.1312208141025265,0.11538909457025237,0.054,622.9041783510627,540,0.06928133432266506,0.15277564651651612,0.12264579730747749,0.06638497034579353,0.14272650401568987,0.12126795846670285
R2H,north,0.0697249981052978,0.15573789122148302,0.12065740830202046,0.054,697.2499810529779,540,0.06928133432266506,0.15277564651651612,0.12264579730747749,0.06638497034579353,0.14272650401568987,0.12126795846670285
R2J,north,0.06575825396594809,0.13816207464794034,0.12221852459163988,0.054,657.5825396594809,540,0.06928133432266506,0.15277564651651612,0.12264579730747749,0.06638497034579353,0.14272650401568987,0.12126795846670285
R2K,north,0.0714040454975281,0.16208075989546164,0.1214394112175643,0.054,714.040454975281,540,0.06928133432266506,0.15277564651651612,0.12264579730747749,0.06638497034579353,0.14272650401568987,0.12126795846670285
R2L,north,0.0799152832204847,0.19405461328502036,0.12714156782994315,0.054,799.152832204847,540,0.06928133432266506,0.15277564651651612,0.12264579730747749,0.06638497034579353,0.14272650401568987,0.12126795846670285
R2M,south,0.06697661953754967,0.14301108234563636,0.12205029463978222,0.054,669.7661953754969,540,0.06189242381352186,0.1261927626428191,0.12011128390643522,0.06638497034579353,0.14272650401568987,0.12126795846670285
R2N,south,0.056714330822475414,0.11310330518823701,0.1129708632137072,0.054,567.1433082247542,540,0.06189242381352186,0.1261927626428191,0.12011128390643522,0.06638497034579353,0.14272650401568987,0.12126795846670285
R2P,north,0.05842005102843347,0.11810385549617673,0.11417514154599012,0.054,584.2005102843348,540,0.06928133432266506,0.15277564651651612,0.12264579730747749,0.06638497034579353,0.14272650401568987,0.12126795846670285
R2R,north,0.0605364864031288,0.11925500831232792,0.12271226027141478,0.054,605.3648640312881,540,0.06928133432266506,0.15277564651651612,0.12264579730747749,0.06638497034579353,0.14272650401568987,0.12126795846670285
R2V,north,0.06887658175836076,0.15473822332929923,0.11843324309140803,0.054,688.7658175836074,540,0.06928133432266506,0.15277564651651612,0.12264579730747749,0.06638497034579353,0.14272650401568987,0.12126795846670285
R2W,north,0.07086264408886993,0.16229124991981922,0.11939264977290394,0.054,708.6264408886992,540,0.06928133432266506,0.15277564651651612,0.12264579730747749,0.06638497034579353,0.14272650401568987,0.12126795846670285
R2X,north,0.06464197737259962,0.13491142585455057,0.1211527713856176,0.054,646.4197737259964,540,0.06928133432266506,0.15277564651651612,0.12264579730747749,0.06638497034579353,0.14272650401568987,0.12126795846670285
R2Y,west,0.06031653968531302,0.12182180867567846,0.11805034145017926,0.054,603.1653968531301,540,0.061987588889942095,0.12898392020897817,0.11760728240003253,0.06638497034579353,0.14272650401568987,0.12126795846670285
R3A,north,0.07115257612886723,0.16496019652941565,0.11840263749760935,0.054,711.5257612886722,540,0.06928133432266506,0.15277564651651612,0.12264579730747749,0.06638497034579353,0.14272650401568987,0.12126795846670285
R3B,north,0.06571688376327851,0.1426138654730482,0.11746778253424685,0.054,657.1688376327852,540,0.06928133432266506,0.15277564651651612,0.12264579730747749,0.06638497034579353,0.14272650401568987,0.12126795846670285
R3C,north,0.06418203817167614,0.1366905223236947,0.11731800259536598,0.054,641.8203817167614,540,0.06928133432266506,0.15277564651651612,0.12264579730747749,0.06638497034579353,0.14272650401568987,0.12126795846670285
R3E,north,0.08315527788001004,0.19577962469291604,0.1362496350811686,0.054,831.5527788001004,540,0.06928133432266506,0.15277564651651612,0.12264579730747749,0.06638497034579353,0.14272650401568987,0.12126795846670285
R3G,north,0.07271677849591049,0.16373905945115197,0.12473330438862595,0.054,727.1677849591049,540,0.06928133432266506,0.15277564651651612,0.12264579730747749,0.06638497034579353,0.14272650401568987,0.12126795846670285
R3H,north,0.07686355461186847,0.1680494823837123,0.13623147701187677,0.054,768.6355461186847,540,0.06928133432266506,0.15277564651651612,0.12264579730747749,0.06638497034579353,0.14272650401568987,0.12126795846670285
R3J,west,0.075539386128667535,0.17240504864745482,0.1277300208398694,0.054,755.3938612866755,540,0.061987588889942095,0.12898392020897817,0.11760728240003253,0.06638497034579353,0.14272650401568987,0.12126795846670285
R3K,west,0.05990837420327481,0.12234763929800697,0.11550126248905117,0.054,599.0837420327481,540,0.061987588889942095,0.12898392020897817,0.11760728240003253,0.06638497034579353,0.14272650401568987,0.12126795846670285
R3L,south,0.06737336479107947,0.1446320882094018,0.12198466414504544,0.054,673.7336479107945,540,0.06189242381352186,0.1261927626428191,0.12011128390643522,0.06638497034579353,0.14272650401568987,0.12126795846670285
R3M,north,0.07455812336542741,0.1683732119914581,0.12749722198120741,0.054,745.5812336542741,540,0.06928133432266506,0.15277564651651612,0.12264579730747749,0.06638497034579353,0.14272650401568987,0.12126795846670285
R3N,north,0.08171615523342828,0.195756570694457,0.13167092856422652,0.054,817.1615523342828,540,0.06928133432266506,0.15277564651651612,0.12264579730747749,0.06638497034579353,0.14272650401568987,0.12126795846670285
R3P,south,0.06706684504240949,0.1397606333105263,0.1259533342157738,0.054,670.6684504240948,540,0.06189242381352186,0.1261927626428191,0.12011128390643522,0.06638497034579353,0.14272650401568987,0.12126795846670285
R3R,west,0.06008141701686733,0.1222167096568106,0.11644711438903885,0.054,600.8141701686733,540,0.061987588889942095,0.12898392020897817,0.11760728240003253,0.06638497034579353,0.14272650401568987,0.12126795846670285
R3S,west,0.054092227415587765,0.10612839476693993,0.1103076728320239,0.054,540.9222741558776,540,0.061987588889942095,0.12898392020897817,0.11760728240003253,0.06638497034579353,0.14272650401568987,0.12126795846670285
R3T,south,0.05758943532183102,0.11323209112386211,0.11706911670236686,0.054,575.8943532183102,540,0.06189242381352186,0.1261927626428191,0.12011128390643522,0.06638497034579353,0.14272650401568987,0.12126795846670285
R3V,south,0.05775822835412217,0.11199835676737253,0.11985775655235235,0.054,577.5822835412217,540,0.06189242381352186,0.1261927626428191,0.12011128390643522,0.06638497034579353,0.14272650401568987,0.12126795846670285
R3W,north,0.05878550676916082,0.11781177804280542,0.1162797856441872,0.054,587.8550676916082,540,0.06928133432266506,0.15277564651651612,0.12264579730747749,0.06638497034579353,0.14272650401568987,0.12126795846670285
R3X,south,0.057823811098607,0.11343138171068645,0.11793973592459797,0.054,578.2381109860701,540,0.06189242381352186,0.1261927626428191,0.12011128390643522,0.06638497034579353,0.14272650401568987,0.12126795846670285
R3Y,south,0.0638367555401007,0.13037316248683012,0.12306450585785579,0.054,638.3675554010069,540,0.06189242381352186,0.1261927626428191,0.12011128390643522,0.06638497034579353,0.14272650401568987,0.12126795846670285
