wwtp,particle_class,hydraulic_level,bin_left_proportion,bin_right_proportion,bin_mid_proportion,observation_count
north,1,Pipe,0,0.05,0.025,3758531
north,2,Pipe,0,0.05,0.025,3259269
north,3,Pipe,0,0.05,0.025,2765687
north,4,Pipe,0.25,0.30000000000000004,0.275,39037
north,5,Pipe,0.5,0.55,0.525,36920
north,6,Pipe,0.8500000000000001,0.9,0.875,54358
north,7,Pipe,0.95,1,0.975,3137219
north,8,Pipe,0.95,1,0.975,3372728
north,4,Pipe,0,0.05,0.025,2149143
north,5,Pipe,0,0.05,0.025,1378428
north,6,Pipe,0.95,1,0.975,2702023
north,4,Pipe,0.6000000000000001,0.65,0.625,33183
north,5,Pipe,0.95,1,0.975,2010327
north,4,Pipe,0.15000000000000002,0.2,0.17500000000000002,46690
north,5,Pipe,0.30000000000000004,0.35000000000000003,0.325,32643
north,6,Pipe,0.65,0.7000000000000001,0.675,27953
north,4,Pipe,0.05,0.1,0.07500000000000001,54259
north,5,Pipe,0.8500000000000001,0.9,0.875,68668
north,4,Pipe,0.1,0.15000000000000002,0.125,49656
north,5,Pipe,0.9,0.95,0.925,99798
north,5,Pipe,0.2,0.25,0.225,33314
north,6,Pipe,0.45,0.5,0.475,22476
north,7,Pipe,0.9,0.95,0.925,46764
north,3,Pipe,0.05,0.1,0.07500000000000001,64316
north,4,Pipe,0.35000000000000003,0.4,0.375,33344
north,5,Pipe,0.6000000000000001,0.65,0.625,40225
north,6,Pipe,0.9,0.95,0.925,79570
north,4,Pipe,0.4,0.45,0.425,31392
north,2,Pipe,0.2,0.25,0.225,38250
north,3,Pipe,0.4,0.45,0.425,31154
north,4,Pipe,0.8500000000000001,0.9,0.875,61759
north,5,Pipe,0.35000000000000003,0.4,0.375,32942
north,4,Pipe,0.30000000000000004,0.35000000000000003,0.325,35999
south,1,Pipe,0,0.05,0.025,964854
south,2,Pipe,0,0.05,0.025,902738
south,3,Pipe,0,0.05,0.025,846761
south,4,Pipe,0,0.05,0.025,773399
south,5,Pipe,0,0.05,0.025,658863
south,6,Pipe,0,0.05,0.025,573826
south,7,Pipe,0,0.05,0.025,522305
south,8,Pipe,0,0.05,0.025,481447
south,2,Pipe,0.1,0.15000000000000002,0.125,6396
south,3,Pipe,0.55,0.6000000000000001,0.5750000000000001,3551
south,4,Pipe,0.95,1,0.975,167232
south,5,Pipe,0.95,1,0.975,264269
south,6,Pipe,0.95,1,0.975,382367
south,7,Pipe,0.95,1,0.975,464909
south,8,Pipe,0.95,1,0.975,520800
south,2,Pipe,0.05,0.1,0.07500000000000001,7947
south,3,Pipe,0.25,0.30000000000000004,0.275,4153
south,4,Pipe,0.75,0.8,0.775,5548
north,6,Pipe,0.7000000000000001,0.75,0.7250000000000001,30423
north,4,Pipe,0.95,1,0.975,1265423
north,2,Pipe,0.35000000000000003,0.4,0.375,28280
north,3,Pipe,0.65,0.7000000000000001,0.675,33280
north,3,Pipe,0.1,0.15000000000000002,0.125,46966
north,5,Pipe,0.65,0.7000000000000001,0.675,42278
north,6,Pipe,0,0.05,0.025,948206
north,7,Pipe,0,0.05,0.025,777344
north,4,Pipe,0.45,0.5,0.475,30498
north,5,Pipe,0.75,0.8,0.775,48704
north,8,Pipe,0,0.05,0.025,650984
north,2,Pipe,0.15000000000000002,0.2,0.17500000000000002,42754
north,3,Pipe,0.45,0.5,0.475,31375
north,4,Pipe,0.9,0.95,0.925,86941
north,6,Pipe,0.8,0.8500000000000001,0.8250000000000001,42239
north,1,Pipe,0.05,0.1,0.07500000000000001,72856
north,2,Pipe,0.65,0.7000000000000001,0.675,29589
north,3,Pipe,0.9,0.95,0.925,77342
north,3,Pipe,0.30000000000000004,0.35000000000000003,0.325,32198
north,4,Pipe,0.75,0.8,0.775,43421
north,6,Pipe,0.5,0.55,0.525,22771
north,5,Pipe,0.7000000000000001,0.75,0.7250000000000001,44134
north,6,Pipe,0.6000000000000001,0.65,0.625,26049
north,5,Pipe,0.45,0.5,0.475,35220
north,4,Pipe,0.2,0.25,0.225,42652
north,5,Pipe,0.4,0.45,0.425,33162
north,6,Pipe,0.75,0.8,0.775,35291
north,8,Pipe,0.25,0.30000000000000004,0.275,4030
north,5,Pipe,0.55,0.6000000000000001,0.5750000000000001,39096
north,5,Pipe,0.1,0.15000000000000002,0.125,42966
north,6,Pipe,0.35000000000000003,0.4,0.375,21342
north,7,Pipe,0.8500000000000001,0.9,0.875,29934
north,6,Pipe,0.4,0.45,0.425,22537
north,5,Pipe,0.15000000000000002,0.2,0.17500000000000002,36664
north,2,Pipe,0.05,0.1,0.07500000000000001,66872
north,5,Pipe,0.05,0.1,0.07500000000000001,46719
north,6,Pipe,0.25,0.30000000000000004,0.275,20987
north,7,Pipe,0.75,0.8,0.775,20706
north,3,Pipe,0.15000000000000002,0.2,0.17500000000000002,38283
north,5,Pipe,0.25,0.30000000000000004,0.275,32870
north,6,Pipe,0.55,0.6000000000000001,0.5750000000000001,24281
north,2,Pipe,0.25,0.30000000000000004,0.275,32707
north,3,Pipe,0.5,0.55,0.525,30739
north,3,Pipe,0.6000000000000001,0.65,0.625,32442
north,4,Pipe,0.5,0.55,0.525,30413
north,2,Pipe,0.5,0.55,0.525,25954
north,3,Pipe,0.95,1,0.975,709217
north,7,Pipe,0.5,0.55,0.525,12814
north,4,Pipe,0.55,0.6000000000000001,0.5750000000000001,32112
north,1,Pipe,0.9,0.95,0.925,7441
north,2,Pipe,0.95,1,0.975,265046
north,2,Pipe,0.75,0.8,0.775,34281
north,4,Pipe,0.65,0.7000000000000001,0.675,35917
south,6,Pipe,0.15000000000000002,0.2,0.17500000000000002,2800
south,8,Pipe,0.30000000000000004,0.35000000000000003,0.325,1350
south,8,Pipe,0.9,0.95,0.925,4828
south,3,Pipe,0.30000000000000004,0.35000000000000003,0.325,4254
south,8,Pipe,0.2,0.25,0.225,955
south,4,Pipe,0.05,0.1,0.07500000000000001,6134
south,5,Pipe,0.15000000000000002,0.2,0.17500000000000002,5276
south,6,Pipe,0.45,0.5,0.475,3396
south,7,Pipe,0.9,0.95,0.925,8648
south,7,Pipe,0.55,0.6000000000000001,0.5750000000000001,1884
south,6,Pipe,0.9,0.95,0.925,11435
south,1,Pipe,0.30000000000000004,0.35000000000000003,0.325,3040
south,2,Pipe,0.95,1,0.975,45036
south,3,Pipe,0.95,1,0.975,101408
north,1,Pipe,0.25,0.30000000000000004,0.275,31592
south,3,Pipe,0.05,0.1,0.07500000000000001,5755
south,4,Pipe,0.25,0.30000000000000004,0.275,3672
south,5,Pipe,0.5,0.55,0.525,4120
