fsa,wwtp,population,sample_fraction,population_equivalent_loss_persons
R2C,north,32816,Total,5277.692533896712
R2C,north,32816,Solids,19307.633700508708
R2C,north,32816,Liquid,18565.739856743003
R2G,north,33874,Total,4508.391876416613
R2G,north,33874,Solids,19934.168788689287
R2G,north,33874,Liquid,18021.583384612397
R2H,north,16136,Total,3639.133400102679
R2H,north,16136,Solids,10541.061008815022
R2H,north,16136,Liquid,8914.36303412951
R2J,north,26960,Total,4820.726035185108
R2J,north,26960,Solids,16422.8102269764
R2J,north,26960,Liquid,15048.221447081813
R2K,north,34345,Total,8371.261578355468
R2K,north,34345,Solids,22902.37102172896
R2K,north,34345,Liquid,19072.939789848413
R2L,north,15255,Total,4946.9591997536345
R2L,north,15255,Solids,11009.957915944638
R2L,north,15255,Liquid,8775.844409423795
R2M,south,38978,Total,7551.929013840999
R2M,south,38978,Solids,24260.175580540086
R2M,south,38978,Liquid,21732.552078615485
R2N,south,31384,Total,1502.028804663418
R2N,south,31384,Solids,16400.03470226212
R2N,south,31384,Liquid,16382.46817321326
R2P,north,35218,Total,2664.5878320716724
R2P,north,35218,Solids,19115.460485008767
R2P,north,35218,Liquid,18561.379528599402
R2R,north,25599,Total,2764.0770942570934
R2R,north,25599,Solids,14007.486825310962
R2R,north,25599,Liquid,14334.062030945162
R2V,north,38204,Total,8251.642502967623
R2V,north,38204,Solids,24871.702681258757
R2V,north,38204,Liquid,20784.76916455169
R2W,north,29483,Total,7015.845119307918
R2W,north,29483,Solids,19672.970187631334
R2W,north,29483,Liquid,16148.159010807703
R2X,north,19674,Total,3238.9210747948546
R2X,north,19674,Solids,11799.23332793636
R2X,north,19674,Liquid,10904.93935161833
R2Y,west,19849,Total,2078.6503481118507
R2Y,west,19849,Solids,11050.526133522326
R2Y,west,19849,Liquid,10769.432869291184
R3A,north,5156,Total,1242.9442099224157
R3A,north,5156,Solids,3468.174658749564
R3A,north,5156,Liquid,2804.4983283786937
R3B,north,12545,Total,2236.690153169793
R3B,north,12545,Solids,7794.900858146056
R3B,north,12545,Liquid,6778.057052877454
R3C,north,16798,Total,2664.8869696272072
R3C,north,16798,Solids,10161.899818511707
R3C,north,16798,Liquid,9066.092023961633
R3E,north,19009,Total,6664.792558577209
R3E,north,19009,Solids,13765.93141403217
R3E,north,19009,Liquid,11475.137620196288
R3G,north,25200,Total,6486.299693865977
R3G,north,25200,Solids,16889.2157279921
R3G,north,25200,Liquid,14290.32349724163
R3H,north,116,Total,34.5049399337462
R3H,north,116,Solids,78.72526454025473
R3H,north,116,Liquid,70.01943708315004
R3J,west,28343,Total,8081.75512579576
R3J,west,28343,Solids,19465.5221534567
R3J,west,28343,Liquid,16360.523289072651
R3K,west,12431,Total,1225.9888654580498
R3K,west,12431,Solids,6944.388212052451
R3K,west,12431,Liquid,6619.167423160135
R3L,south,20725,Total,4113.836174793803
R3L,south,20725,Solids,12987.090564718474
R3L,south,20725,Liquid,11550.486073648744
R3M,north,22203,Total,6122.0963253782975
R3M,north,22203,Solids,15082.140417771292
R3M,north,22203,Liquid,12799.171576375822
R3N,north,16591,Total,5627.268318782803
R3N,north,16591,Solids,12014.32603793734
R3N,north,16591,Liquid,9786.810117166518
R3P,south,20616,Total,4016.6803317491467
R3P,south,20616,Solids,12650.495167702185
R3P,south,20616,Liquid,11777.297897101798
R3R,west,25743,Total,2605.6961709352586
R3R,west,25743,Solids,14368.761535361913
R3R,west,25743,Liquid,13805.203110025266
R3S,west,603,Total,1.028116871064435
R3S,west,603,Solids,296.1829594567335
R3S,west,603,Liquid,307.80747926225143
R3T,south,50190,Total,3128.243188979594
R3T,south,50190,Solids,26254.55932147976
R3T,south,50190,Liquid,27039.060825405504
R3V,south,6416,Total,417.47805996073157
R3V,south,6416,Solids,3322.5260419880356
R3V,south,6416,Liquid,3525.3735610788867
R3W,north,16173,Total,1316.5830360458897
R3W,north,16173,Solids,8759.972079458115
R3W,north,16173,Liquid,8662.305039894025
R3X,south,22304,Total,1474.9336151138825
R3X,south,22304,Solids,11685.98599156682
R3X,south,22304,Liquid,12091.869282919073
R3Y,south,33116,Total,5102.922191296895
R3Y,south,33116,Solids,19399.496036382145
R3Y,south,33116,Liquid,18584.888957588526
