simulation,location,sample_fraction,effective_surveillance_coverage_percent
1,North,Total,84.78057204366031
1,North,Solids,22.020102876423113
1,North,Liquid,66.03447383222168
1,South,Total,90.75807672442463
1,South,Solids,25.75006573776813
1,South,Liquid,66.57878909175264
1,West,Total,87.70246415451123
1,West,Solids,23.84073958837388
1,West,Liquid,66.30549773567844
2,North,Total,74.01748665781372
2,North,Solids,24.2726899461173
2,North,Liquid,50.346683039349735
2,South,Total,81.6857989495345
2,South,Solids,28.583142359884068
2,South,Liquid,52.45579273924147
2,West,Total,78.59783917753728
2,West,Solids,26.33500651958503
2,West,Liquid,52.492904592302466
3,North,Total,82.28086525142326
3,North,Solids,28.868475448289427
3,North,Liquid,55.87418907249733
3,South,Total,89.22807628449338
3,South,Solids,33.95864367814392
3,South,Liquid,56.43390129027915
3,West,Total,85.7145113966761
3,West,Solids,31.381033994090863
3,West,Liquid,56.155916195988866
4,North,Total,79.77948763120447
4,North,Solids,39.901493826835825
4,North,Liquid,40.89549687302651
4,South,Total,87.59170502536936
4,South,Solids,46.28413950442678
4,South,Liquid,41.63994869602789
4,West,Total,83.66529605424721
4,West,Solids,42.986336697530135
4,West,Liquid,41.38418147411797
5,North,Total,83.86637658291211
5,North,Solids,34.834642793218705
5,North,Liquid,50.052121024486205
5,South,Total,90.3780428928425
5,South,Solids,40.572392934567894
5,South,Liquid,50.33496342727193
5,West,Total,87.00825656058092
5,West,Solids,37.64735355973157
5,West,Liquid,50.13602771946145
6,North,Total,77.18592809289778
6,North,Solids,43.281037467709886
6,North,Liquid,35.148652764328716
6,South,Total,86.07488610982232
6,South,Solids,50.46971115015505
6,South,Liquid,35.93993883113466
6,West,Total,81.57542658596346
6,West,Solids,46.66777271735088
6,West,Liquid,35.78041380927199
7,North,Total,82.06295526293331
7,North,Solids,42.07224311952381
7,North,Liquid,39.06339486925354
7,South,Total,88.99318921047423
7,South,Solids,49.02885753198119
7,South,Liquid,39.56789228584313
7,West,Total,85.50971992444617
7,West,Solids,45.431924015360075
7,West,Liquid,39.396576814617475
8,North,Total,81.48940469665409
8,North,Solids,40.235021491695555
8,North,Liquid,42.963166290106486
8,South,Total,88.93987262354061
8,South,Solids,46.36309783658179
8,South,Liquid,43.3755723782215
8,West,Total,84.98753574805197
8,West,Solids,43.154068972862284
8,West,Liquid,43.09679838402257
9,North,Total,84.77968815545773
9,North,Solids,42.85678079044972
9,North,Liquid,39.07297354257458
9,South,Total,90.79706917387807
9,South,Solids,50.036127006224326
9,South,Liquid,39.36561350594965
9,West,Total,87.66295391942953
9,West,Solids,46.33007075288852
9,West,Liquid,39.19325212971279
10,North,Total,78.8910005841026
10,North,Solids,44.66066661481577
10,North,Liquid,34.49486577857197
10,South,Total,87.23980653262255
10,South,Solids,52.45371852720573
10,South,Liquid,34.91031647414158
10,West,Total,83.06761144181446
10,West,Solids,48.526675736060845
10,West,Liquid,34.737066555718904
11,North,Total,82.3132582484267
11,North,Solids,34.33538218395551
11,North,Liquid,49.13713990757888
11,South,Total,89.17508202541956
11,South,Solids,40.10183074344839
11,South,Liquid,49.63140077711684
11,West,Total,85.73510485532964
11,West,Solids,37.177876114305406
11,West,Liquid,49.424685053436846
12,North,Total,76.32336293343927
12,North,Solids,38.61334070164851
12,North,Liquid,44.21736899606981
12,South,Total,86.61132045806416
12,South,Solids,45.19240992023106
12,South,Liquid,44.5659009873104
12,West,Total,81.33576311391289
12,West,Solids,41.84031062374158
12,West,Liquid,44.29905827146701
13,North,Total,78.06006650159652
13,North,Solids,42.274374642017406
13,North,Liquid,35.850423654198636
13,South,Total,85.64082108960518
13,South,Solids,48.81067085303789
13,South,Liquid,36.83666774665834
13,West,Total,82.1109872022038
13,West,Solids,45.46141932505894
13,West,Liquid,36.69130459746573
14,North,Total,81.65537874441272
14,North,Solids,44.34309845310029
14,North,Liquid,36.55792553267489
14,South,Total,88.55667341795322
14,South,Solids,51.168834004285024
14,South,Liquid,37.074188316553375
14,West,Total,84.93744417269991
14,West,Solids,47.53888529229743
14,West,Liquid,36.84553945869769
15,North,Total,80.51822841699308
15,North,Solids,43.372737217157344
15,North,Liquid,40.35479432509672
15,South,Total,88.83187034193477
15,South,Solids,49.693646972877445
15,South,Liquid,40.66122407202886
15,West,Total,84.41513983714283
15,West,Solids,46.372969980702656
15,West,Liquid,40.42009976342098
16,North,Total,76.90926004446695
16,North,Solids,43.85397856906214
16,North,Liquid,36.901823390484964
16,South,Total,86.67016312027174
16,South,Solids,51.24026851482347
16,South,Liquid,37.255979431783395
16,West,Total,81.70505618319712
16,West,Solids,47.510196147121505
