simulation,location,sample_fraction,minimum_detectable_prevalence_percent
1,North,Total,0.06479356738533083
1,North,Solids,0.25673940426639524
1,North,Liquid,0.0822445664866078
1,South,Total,0.05971641345684152
1,South,Solids,0.21201398460840015
1,South,Liquid,0.08127572466870286
1,West,Total,0.059758672938789364
1,West,Solids,0.2166637316883241
1,West,Liquid,0.08041032945682675
2,North,Total,0.07625767612164226
2,North,Solids,0.2339634797320497
2,North,Liquid,0.11237231576573815
2,South,Total,0.06705705082140571
2,South,Solids,0.19103904191651194
2,South,Liquid,0.1050631654542664
2,West,Total,0.06557223355379702
2,West,Solids,0.1960450535952651
2,West,Liquid,0.09819019291372574
3,North,Total,0.06710256110555986
3,North,Solids,0.19705198589704412
3,North,Liquid,0.09733930070351074
3,South,Total,0.06081515887121692
3,South,Solids,0.16097108753905123
3,South,Liquid,0.09594053947231262
3,West,Total,0.060886961150413796
3,West,Solids,0.1645598642816401
3,West,Liquid,0.09470300382023655
4,North,Total,0.06960374109698869
4,North,Solids,0.14146100573794387
4,North,Liquid,0.13398581114498853
4,South,Total,0.06207969629528188
4,South,Solids,0.11785578956224506
4,South,Liquid,0.13044496053205396
4,West,Total,0.062137413213805025
4,West,Solids,0.1202994148791544
4,West,Liquid,0.1272537072994008
5,North,Total,0.06567756901983632
5,North,Solids,0.16342949215196909
5,North,Liquid,0.10829938547448212
5,South,Total,0.05995660301035871
5,South,Solids,0.1346173130844106
5,South,Liquid,0.1074158706131598
5,West,Total,0.06011634002178622
5,West,Solids,0.1372763454855155
5,West,Liquid,0.10667881974693492
6,North,Total,0.07255805208839763
6,North,Solids,0.1313966959299182
6,North,Liquid,0.15659344274195158
6,South,Total,0.06324741767270449
6,South,Solids,0.10812021549458385
6,South,Liquid,0.15145023739051972
6,West,Total,0.06353788674969225
6,West,Solids,0.11079806305928672
6,West,Liquid,0.14661042180762138
7,North,Total,0.06721678146503761
7,North,Solids,0.13387425393646651
7,North,Liquid,0.1395627148923787
7,South,Total,0.06099611859936174
7,South,Solids,0.11125955727319291
7,South,Liquid,0.13698643558534934
7,West,Total,0.06099495161837636
7,West,Solids,0.11364220168266839
7,West,Liquid,0.13458559698312883
8,North,Total,0.06782453554450843
8,North,Solids,0.1398960750757039
8,North,Liquid,0.1265582622148421
8,South,Total,0.06101337517857687
8,South,Solids,0.1175450985119954
8,South,Liquid,0.12479523532203705
8,West,Total,0.0613205846749798
8,West,Solids,0.11984332975053527
8,West,Liquid,0.1233559397611326
9,North,Total,0.06483305948177695
9,North,Solids,0.13240024409375242
9,North,Liquid,0.13891864129129725
9,South,Total,0.059679259924002324
9,South,Solids,0.10909789677697264
9,South,Liquid,0.13742446716434753
9,West,Total,0.05975126182540809
9,West,Solids,0.11150575834291232
9,West,Liquid,0.1361326714378308
10,North,Total,0.07053075368754116
10,North,Solids,0.12765624533245756
10,North,Liquid,0.15793334257442634
10,South,Total,0.062293282803711075
10,South,Solids,0.10418462836552121
10,South,Liquid,0.15520619285575865
10,West,Total,0.06253491196134486
10,West,Solids,0.10643512813185968
10,West,Liquid,0.15273825003228936
11,North,Total,0.06707394985492911
11,North,Solids,0.16532899337765014
11,North,Liquid,0.11068456526479173
11,South,Total,0.06086047351682828
11,South,Solids,0.13629169187764534
11,South,Liquid,0.10909636740126503
11,West,Total,0.06085615063939539
11,West,Solids,0.1388771898928538
11,West,Liquid,0.10764214365630834
12,North,Total,0.07342318186634679
12,North,Solids,0.1470791928843593
12,North,Liquid,0.12280216987015581
12,South,Total,0.0628567189468841
12,South,Solids,0.12087411224101911
12,South,Liquid,0.12139317610879857
12,West,Total,0.06371259549032808
