wwtp,part.class,threshold_mode,n_pipe_days,n_sims,median_F_settle,q25_F_settle,q75_F_settle,median_F_settle_HRT,q25_F_settle_HRT,q75_F_settle_HRT,median_F_resusp,q25_F_resusp,q75_F_resusp,median_F_resusp_HRT,q25_F_resusp_HRT,q75_F_resusp_HRT,pct_daily_misses_hourly_settling_HRT,pct_daily_assumes_all_day_but_hourly_partial_settling_HRT,pct_daily_misses_hourly_resuspension_HRT,pct_daily_assumes_all_day_but_hourly_partial_resuspension_HRT,median_delta_settle_HRT,q25_delta_settle_HRT,q75_delta_settle_HRT,median_delta_resusp_HRT,q25_delta_resusp_HRT,q75_delta_resusp_HRT
north,1,midpoint,46471,1,0,0,0.20833333333333334,0,0,0.3145159678095377,1,0.75,1,1,0.5979984979321589,1,11.8848314002281,5.039702179854102,6.345893137655742,11.930020873232769,0,0,0,0,0,0
north,2,midpoint,46471,1,0,0,0.625,0,0,0.7279583873441203,1,0.16666666666666666,1,1,0.10502480665379471,1,13.139377246024402,6.421208925996859,6.774117191366659,12.894062963999053,0,0,0,0,0,0
north,3,midpoint,46471,1,0.125,0,1,0.19646601591056356,0,1,0,0,1,0,0,1,12.39267500161391,7.576768307116266,6.81500290503755,7.378795377762476,0,0,0,0,0,0
north,4,midpoint,46471,1,0.5833333333333334,0,1,0.687736425819416,0,1,0,0,0,0,0,0,9.674850982333068,8.12119386283919,3.5828796453702307,4.241354823438273,0,0,0,0,0,0
north,5,midpoint,46471,1,1,0.125,1,1,0.14994444650332622,1,0,0,0,0,0,0,6.145768328635063,6.079060058961503,2.8490886789610723,3.3655397990144396,0,0,0,0,0,0
north,6,midpoint,46471,1,1,0.7916666666666666,1,1,0.8147818944251137,1,0,0,0,0,0,0,4.516795420800069,4.232747304770717,2.0098556088743518,2.2013728992274753,0,0,0,0,0,0
north,7,midpoint,46471,1,1,1,1,1,1,1,0,0,0,0,0,0,4.206924748768049,3.490348819694003,1.4288480988143144,0.4992360827182544,0,0,0,0,0,0
north,8,midpoint,46471,1,1,1,1,1,1,1,0,0,0,0,0,0,3.7528781390544643,3.118073637322201,0,0,0,0,0,0,0,0
south,1,midpoint,12994,1,0,0,0,0,0,0,1,0.9166666666666666,1,1,0.8274033582856639,1,8.37309527474219,3.6863167615822685,4.201939356626135,9.050330921963983,0,0,0,0,0,0
south,2,midpoint,12994,1,0,0,0.20833333333333334,0,0,0.3439505668797435,1,0.7916666666666666,1,1,0.63331008169013,1,9.79682930583346,4.848391565337849,5.010004617515777,10.297060181622287,0,0,0,0,0,0
south,3,midpoint,12994,1,0,0,0.25,0,0,0.4306697612228055,0.9583333333333334,0,1,0.9451124145368892,0,1,11.92088656302909,4.917654301985531,8.1268277666615365,11.851623826381406,0,0,0,0,0,0
south,4,midpoint,12994,1,0,0,0.9583333333333334,0,0,0.9736440811789435,0.5416666666666666,0,1,0.41171502330026555,0,1,12.244112667384947,6.941665384023396,7.180237032476527,10.920424811451438,0,0,0,0,0,0
south,5,midpoint,12994,1,0.16666666666666666,0,1,0.22557877264431975,0,1,0,0,1,0,0,1,12.205633369247344,8.40387871325227,7.80360166230568,10.281668462367247,0,0,0,0,0,0
south,6,midpoint,12994,1,0.25,0,1,0.3777098638676969,0,1,0,0,0.7083333333333334,0,0,0.6025101755816381,11.482222564260427,7.572725873480067,6.079729105741111,8.249961520701863,0,0,0,0,0,0
south,7,midpoint,12994,1,0.625,0,1,0.732097931891621,0,1,0,0,0,0,0,0,11.020470986609205,6.9031860858857925,4.979221179005695,2.73972602739726,0,0,0,0,0,0
south,8,midpoint,12994,1,1,0,1,1,0,1,0,0,0,0,0,0,10.774203478528552,7.334154225026936,0,0,0,0,0,0,0,0
west,1,midpoint,7549,1,0,0,0.125,0,0,0.20448423083760806,1,0.7916666666666666,1,1,0.6753005521388434,1,8.186514770168234,2.954033646840641,4.570141740627898,6.292224135647105,0,0,0,0,0,0
west,2,midpoint,7549,1,0,0,0.3333333333333333,0,0,0.5603867896495779,1,0.5833333333333334,1,1,0.3125590119736501,1,6.742614915882898,4.7820903430918005,4.358193138163995,7.100278182540734,0,0,0,0,0,0
west,3,midpoint,7549,1,0,0,1,0,0,1,1,0,1,1,0,1,7.232746059080673,4.278712412240031,4.30520598754802,6.1465094714531725,0,0,0,0,0,0
west,4,midpoint,7549,1,0,0,1,0,0,1,0.16666666666666666,0,1,0.07549736057280258,0,1,6.318717710955093,4.344946350510001,5.285468273943569,7.842098291164393,0,0,0,0,0,0
west,5,midpoint,7549,1,0.08333333333333333,0,1,0.12691929997412685,0,1,0,0,1,0,0,1,6.00079480725924,4.715856404821831,5.762352629487349,9.656908199761558,0,0,0,0,0,0
west,6,midpoint,7549,1,0.5,0,1,0.621368579943191,0,1,0,0,0.75,0,0,0.6759203029985085,8.027553318320308,4.755596767783812,5.563650814677441,8.17326798251424,0,0,0,0,0,0
west,7,midpoint,7549,1,1,0,1,1,0,1,0,0,0,0,0,0,8.703139488673997,5.020532520863691,6.901576367730826,2.23870711352497,0,0,0,0,0,0
west,8,midpoint,7549,1,1,0,1,1,0,1,0,0,0,0,0,0,8.597165187442044,4.861571069015764,0,0,0,0,0,0,0,0
