wwtp,day_index,sim,part.class,threshold_mode,hourly_settle_exposure_HRT,daily_settle_exposure_HRT,hourly_resusp_exposure_HRT,daily_resusp_exposure_HRT,difference_settle_hourly_minus_daily,difference_resusp_hourly_minus_daily
north,1,1,1,midpoint,0.6341565770818867,0.6170926074669301,0.3115623678106369,0.3208363022425541,0.017063969614956598,-0.009273934431917208
north,1,1,2,midpoint,0.7424111093110332,0.731758294324698,0.24230912699066204,0.25017370081432355,0.01065281498633519,-0.007864573823661514
north,1,1,3,midpoint,0.8211473427582341,0.8165619835358917,0.07014535966480288,0.06882542325914687,0.004585359222342378,0.0013199364056560164
north,1,1,4,midpoint,0.8870882569721752,0.8878220969637517,0.030342274507388304,0.0302166076495187,-7.338399915765015e-4,1.2566685786960519e-4
north,1,1,5,midpoint,0.9438346528400903,0.9447006647077062,0.016386878611047016,0.016213080743097057,-8.660118676159234e-4,1.7379786794995827e-4
north,1,1,6,midpoint,0.9650859379090534,0.9654850030880593,0.00861568462833857,0.00850342754430535,-3.9906517900589744e-4,1.1225708403322064e-4
north,1,1,7,midpoint,0.9726590424694662,0.9727933154661399,0.0026340799157475456,0.0022876824163282745,-1.3427299667367887e-4,3.4639749941927115e-4
north,1,1,8,midpoint,0.9780757765712575,0.9783393738535876,0,0,-2.6359728233005253e-4,0
north,2,1,1,midpoint,0.6352137806085942,0.6175160295333681,0.310777908136531,0.32033365377830575,0.017697751075226087,-0.009555745641774749
north,2,1,2,midpoint,0.7431454000478744,0.7323386215504342,0.2416519170675629,0.24978797580624895,0.010806778497440273,-0.008136058738686058
north,2,1,3,midpoint,0.821559798391106,0.8169351091977941,0.0699432070178791,0.06872672882083775,0.004624689193311937,0.0012164781970413485
north,2,1,4,midpoint,0.8873499941831599,0.8883207507928945,0.03029105843221272,0.030037522591758944,-9.707566097346687e-4,2.535358404537752e-4
north,2,1,5,midpoint,0.9439523275146053,0.9450698400630391,0.01637335581222819,0.0162410275865648,-0.00111751254843373,1.3232822566339175e-4
north,2,1,6,midpoint,0.9651819617495755,0.9656180058774325,0.008617863764675781,0.00857020253178007,-4.3604412785702706e-4,4.766123289571059e-5
north,2,1,7,midpoint,0.9727025598360671,0.9728590653395831,0.0026239606844110164,0.0022609862620012284,-1.5650550351598014e-4,3.62974422409788e-4
north,2,1,8,midpoint,0.9781248773646218,0.9783949293260882,0,0,-2.7005196146634436e-4,0
north,3,1,1,midpoint,0.6297934709812277,0.6123546080556328,0.3154378416788085,0.32471183016253546,0.017438862925594933,-0.009273988483726958
north,3,1,2,midpoint,0.7392794509123609,0.7286211442599029,0.24529520426533366,0.2532409274581619,0.010658306652458038,-0.007945723192828241
north,3,1,3,midpoint,0.8188929016473874,0.8142177707789274,0.0709773768331407,0.0697579446100747,0.004675130868459942,0.0012194322230660026
north,3,1,4,midpoint,0.8857820872483683,0.8866918074320572,0.030731589078897916,0.030474241078470285,-9.097201836889557e-4,2.5734800042763115e-4
north,3,1,5,midpoint,0.9431549449599714,0.9442361124053429,0.01661591286320566,0.01643113758680839,-0.001081167445371456,1.8477527639727126e-4
north,3,1,6,midpoint,0.9646628842770851,0.9650602387057545,0.008719735658173997,0.008661914585171487,-3.973544286693942e-4,5.7821073002509854e-5
north,3,1,7,midpoint,0.9723101887781203,0.9724540640046011,0.0026785456247546287,0.002295539731194805,-1.438752264808496e-4,3.8300589355982385e-4
north,3,1,8,midpoint,0.9777811250989535,0.9780407689189113,0,0,-2.5964381995779995e-4,0
north,4,1,1,midpoint,0.6302524089957845,0.6124762918658783,0.3149846506941972,0.32432058957261556,0.017776117129906233,-0.009335938878418382
north,4,1,2,midpoint,0.7397101799685671,0.7290811003309672,0.2449004737112737,0.2526526963839734,0.010629079637599959,-0.007752222672699732
north,4,1,3,midpoint,0.8191069061271646,0.8144386672428129,0.07092297745924812,0.06976767774303959,0.00466823888435175,0.0011552997162085354
north,4,1,4,midpoint,0.8858637482355287,0.8867661572645694,0.03069785911686708,0.030477979223598628,-9.024090290407072e-4,2.1987989326845148e-4
north,4,1,5,midpoint,0.9432360387752762,0.9440319556241586,0.01656944857711277,0.016477065578159734,-7.959168488824719e-4,9.238299895303684e-5
north,4,1,6,midpoint,0.9646842164049172,0.9650883316655163,0.008703547658654389,0.008633221444445638,-4.0411526059913605e-4,7.032621420875046e-5
north,4,1,7,midpoint,0.9723595956651906,0.9724878184860232,0.0026708441118537497,0.0022989573240280964,-1.2822282083257974e-4,3.7188678782565333e-4
north,4,1,8,midpoint,0.9778445975294751,0.9780809367005938,0,0,-2.3633917111876013e-4,0
north,5,1,1,midpoint,0.6303592924405494,0.6125483831215706,0.3148388761577015,0.32390121683263484,0.017810909318978885,-0.009062340674933334
north,5,1,2,midpoint,0.7396989382625279,0.7288186220331723,0.24485363553898368,0.25212491641341,0.010880316229355591,-0.007271280874426328
north,5,1,3,midpoint,0.8193264567563702,0.8144869948752607,0.07083446554399635,0.06969559557538774,0.004839461881109508,0.0011388699686086107
north,5,1,4,midpoint,0.8859634159258989,0.8865983418870783,0.03063489367682058,0.03052557694338585,-6.349259611794222e-4,1.0931673343472781e-4
