wwtp,part.class,threshold_mode,mean_hourly_settle_exposure_HRT,mean_daily_settle_exposure_HRT,mean_difference_settle_hourly_minus_daily,mean_hourly_resusp_exposure_HRT,mean_daily_resusp_exposure_HRT,mean_difference_resusp_hourly_minus_daily
north,1,midpoint,0.6329226167180303,0.6145061556790661,0.018416461038964254,0.31314540678717107,0.3227203040958823,-0.009574897308711222
north,2,midpoint,0.7412891549782573,0.7303177439139014,0.01097141106435597,0.24331540546342537,0.2512973507958438,-0.007981945332418453
north,3,midpoint,0.8203097297106015,0.8154614514839589,0.004848278226642484,0.07051354690609374,0.06922264787330937,0.001290899032784373
north,4,midpoint,0.8865972812163587,0.8873313418323556,-7.340606159968269e-4,0.03050337829760741,0.030320935302497447,1.8244299510996055e-4
north,5,midpoint,0.9435828552305098,0.9445331624756304,-9.503072451205555e-4,0.016481156590613832,0.016320127474481673,1.6102911613216064e-4
north,6,midpoint,0.9648963011809762,0.9653060253494262,-4.0972416844993936e-4,0.008656174475403325,0.008584714172889342,7.14603025139841e-5
north,7,midpoint,0.9724891973630638,0.9726505058239135,-1.613084608497184e-4,0.002648630276763349,0.0022567104934267104,3.9191978333663873e-4
north,8,midpoint,0.9779610130425002,0.9782445454604132,-2.835324179130498e-4,0,0,0
south,1,midpoint,0.7532782405742425,0.7396352694182433,0.013642971155999292,0.2235132543908656,0.23698106519566192,-0.013467810804796301
south,2,midpoint,0.8015506309005073,0.7916598716080262,0.009890759292481047,0.1910576035179338,0.19867819922615687,-0.007620595708223067
south,3,midpoint,0.837552729324444,0.8284183093346545,0.009134419989789441,0.10702973232814822,0.10835653701989288,-0.0013268046917446694
south,4,midpoint,0.869044018313707,0.8651013334346263,0.0039426848790808005,0.06792028113945925,0.06809466812068864,-1.743869812293857e-4
south,5,midpoint,0.9037745466164782,0.9022580838644811,0.001516462751996961,0.047159055429287146,0.04663694989410044,5.221055351867036e-4
south,6,midpoint,0.9256565893239962,0.9259802357389195,-3.236464149234027e-4,0.027937004583626714,0.027960781645884985,-2.3777062258271166e-5
south,7,midpoint,0.9358023112729836,0.9353076126123434,4.946986606403173e-4,0.0077049053955111175,0.006262938019337333,0.0014419673761737843
south,8,midpoint,0.943745964266292,0.9438598029644976,-1.1383869820560018e-4,0,0,0
west,1,midpoint,0.7452189046128644,0.7239422318226556,0.021276672790208857,0.22337505778657932,0.22604767924115593,-0.0026726214545765986
west,2,midpoint,0.8125680721797325,0.8085410149005603,0.00402705727917226,0.17883145111889026,0.184895664534188,-0.0060642134152977395
west,3,midpoint,0.8625535259132173,0.8606430049559317,0.0019105209572856663,0.08443619838369704,0.08538675138028701,-9.505529965899776e-4
west,4,midpoint,0.8966911017202108,0.8967911124409443,-1.0001072073347513e-4,0.0556395996876547,0.05592887320256173,-2.892735149070287e-4
west,5,midpoint,0.9221055620127425,0.9232141323725086,-0.0011085703597661551,0.03965947470337509,0.03989202647653579,-2.3255177316069733e-4
west,6,midpoint,0.9387472494176818,0.9378398015726387,9.074478450431708e-4,0.023431983524802424,0.023362579382936264,6.94041418661621e-5
west,7,midpoint,0.9478765394463516,0.9471964922332059,6.800472131458327e-4,0.006030951195681959,0.00391636764602696,0.0021145835496549996
west,8,midpoint,0.9538608335098855,0.9528729403538208,9.87893156064697e-4,0,0,0
